AU_first,AU_second,k,BIC
AU01_r,AU02_r,11,-177178.5117617532
AU01_r,AU04_r,11,-125424.44624905569
AU01_r,AU05_r,12,-181808.5365614566
AU01_r,AU06_r,13,-114405.51763679569
AU01_r,AU07_r,10,-105341.69044831027
AU01_r,AU09_r,12,-155894.72267266051
AU01_r,AU10_r,13,-106834.36389556619
AU01_r,AU12_r,11,-103647.61454183506
AU01_r,AU14_r,13,-101775.8657460726
AU01_r,AU15_r,11,-151749.24706902044
AU01_r,AU17_r,13,-104173.76689406938
AU01_r,AU20_r,12,-159476.87655043986
AU01_r,AU23_r,12,-146073.72487216603
AU01_r,AU25_r,12,-103705.58224909022
AU01_r,AU26_r,13,-114352.84685276811
AU01_r,AU45_r,13,-137964.4170986424
AU02_r,AU04_r,13,-160977.5226281377
AU02_r,AU05_r,13,-217231.360284891
AU02_r,AU06_r,12,-149860.8645848004
AU02_r,AU07_r,9,-141103.12803191954
AU02_r,AU09_r,12,-191451.83216388084
AU02_r,AU10_r,10,-142485.59229992796
AU02_r,AU12_r,9,-139000.98201385458
AU02_r,AU14_r,8,-137366.10752837095
AU02_r,AU17_r,12,-139972.48799422765
AU02_r,AU23_r,12,-181695.2325837379
AU02_r,AU25_r,13,-139426.27210478482
AU02_r,AU26_r,9,-150062.32209174504
AU04_r,AU05_r,12,-170923.9011489421
AU04_r,AU06_r,8,-103205.12924961622
AU04_r,AU07_r,12,-94732.58871292978
AU04_r,AU09_r,12,-145407.0980237105
AU04_r,AU10_r,10,-96530.93534300546
AU04_r,AU12_r,7,-92520.9947927825
AU04_r,AU14_r,12,-91496.71612190088
AU04_r,AU15_r,12,-141415.97305388018
AU04_r,AU17_r,12,-93633.580088505
AU04_r,AU20_r,10,-149089.70188539132
AU04_r,AU23_r,9,-135681.5158463092
AU04_r,AU25_r,13,-92968.82855166667
AU04_r,AU26_r,9,-103837.78045164306
AU04_r,AU45_r,12,-127488.31424919624
AU05_r,AU06_r,8,-159496.18669089925
AU05_r,AU07_r,8,-150978.3946910687
AU05_r,AU09_r,8,-201211.3303896301
AU05_r,AU10_r,9,-152223.5217112451
AU05_r,AU12_r,10,-149074.0179050382
AU05_r,AU14_r,8,-147346.79521398921
AU05_r,AU15_r,12,-197319.57816055047
AU05_r,AU17_r,12,-149810.40793467878
AU05_r,AU20_r,8,-205122.04127956647
AU05_r,AU23_r,9,-191651.2557979491
AU05_r,AU25_r,12,-149296.2696895885
AU05_r,AU26_r,12,-159977.6476967069
AU05_r,AU45_r,11,-183932.10457778836
AU06_r,AU07_r,13,-86373.445173534
AU06_r,AU09_r,9,-134502.28303924698
AU06_r,AU10_r,12,-89835.92977746562
AU06_r,AU12_r,12,-89714.54050821948
AU06_r,AU14_r,10,-81832.55793192984
AU06_r,AU15_r,12,-129880.9227863117
AU06_r,AU17_r,12,-82365.26532193425
AU06_r,AU20_r,11,-137653.76385399405
AU06_r,AU23_r,13,-124229.89974119031
AU06_r,AU25_r,12,-83151.89353499073
AU06_r,AU26_r,12,-92243.38041238926
AU06_r,AU45_r,12,-115936.54839986091
AU07_r,AU09_r,8,-125492.36645671997
AU07_r,AU10_r,11,-76949.66883837679
AU07_r,AU12_r,13,-73684.21138716723
AU07_r,AU14_r,4,-70398.94232710342
AU07_r,AU15_r,11,-121381.16109894698
AU07_r,AU17_r,13,-73284.86406326653
AU07_r,AU20_r,10,-128994.32699306699
AU07_r,AU23_r,11,-115628.99381417713
AU07_r,AU25_r,8,-73196.5942289839
AU07_r,AU26_r,12,-83396.02094748293
AU07_r,AU45_r,12,-107475.75205064632
AU09_r,AU10_r,9,-127202.68028265786
AU09_r,AU12_r,10,-123556.62414317272
AU09_r,AU14_r,10,-121612.44146334848
AU09_r,AU15_r,11,-171820.36694791797
AU09_r,AU17_r,13,-124353.54827335046
AU09_r,AU20_r,8,-179417.99058916475
AU09_r,AU23_r,10,-166126.74145596664
AU09_r,AU25_r,9,-124192.12643113655
AU09_r,AU26_r,9,-134346.06841301307
AU09_r,AU45_r,13,-157679.40110834557
AU10_r,AU12_r,7,-78963.9637480027
AU10_r,AU14_r,8,-74816.43220540218
AU10_r,AU15_r,11,-122770.2256495768
AU10_r,AU17_r,9,-74936.68641475006
AU10_r,AU20_r,12,-130425.19175361785
AU10_r,AU23_r,8,-117148.9967522376
AU10_r,AU25_r,6,-75036.24282809353
AU10_r,AU26_r,12,-84756.24499491039
AU10_r,AU45_r,10,-108562.68684025174
AU12_r,AU14_r,9,-72725.56284648721
AU12_r,AU15_r,10,-119573.77169648788
AU12_r,AU17_r,11,-72233.68311440782
AU12_r,AU20_r,8,-127202.88560932128
AU12_r,AU23_r,13,-113599.61928686035
AU12_r,AU25_r,10,-73513.24608916653
AU12_r,AU26_r,10,-81814.5889098038
AU12_r,AU45_r,13,-105317.0166485248
AU14_r,AU15_r,12,-117747.75977685922
AU14_r,AU17_r,12,-69897.66138829116
AU14_r,AU20_r,8,-125660.2189103082
AU14_r,AU23_r,13,-112366.67279084299
AU14_r,AU25_r,9,-69136.22672803013
AU14_r,AU26_r,10,-80075.15752697835
AU14_r,AU45_r,10,-103458.94453710745
AU15_r,AU17_r,10,-121738.28399537083
AU15_r,AU20_r,13,-175746.76678252546
AU15_r,AU23_r,12,-162186.4470264763
AU15_r,AU25_r,12,-120197.3135605098
AU15_r,AU26_r,10,-130591.90755807847
AU15_r,AU45_r,10,-153723.98088580393
AU17_r,AU20_r,11,-128248.05502105379
AU17_r,AU23_r,10,-115746.256517848
AU17_r,AU25_r,9,-73538.55572281721
AU17_r,AU26_r,13,-82526.47346789546
AU17_r,AU45_r,12,-106180.87712904139
AU20_r,AU23_r,10,-170060.70194513895
AU20_r,AU25_r,9,-127583.25987595852
AU20_r,AU26_r,8,-138193.1380967473
AU20_r,AU45_r,9,-161521.27788271618
AU23_r,AU25_r,13,-117010.01274452911
AU23_r,AU26_r,9,-125292.70555039088
AU23_r,AU45_r,13,-148702.8010133977
AU25_r,AU26_r,12,-85263.99086252826
AU25_r,AU45_r,13,-105780.23064296179
AU26_r,AU45_r,13,-116368.30097182882
